"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
Ghana,171657,0,1462,0,170161,0,34,2,5299.0,45.0,2536496,78298.0,32395450
Namibia,171310,0,4091,0,167099,0,120,0,65041.0,1553.0,1062663,403460.0,2633874
Uganda,170775,0,3632,0,100431,0,66712,3,3526.0,75.0,3012408,62198.0,48432863
Jamaica,154938,0,3545,0,102923,0,48470,0,51904.0,1188.0,1183986,396633.0,2985094
Cambodia,138739,0,3056,0,135680,0,3,0,8081.0,178.0,3091420,180062.0,17168639
Rwanda,133194,0,1468,0,131647,0,79,0,9793.0,108.0,6021981,442778.0,13600464
Cameroon,125036,0,1972,0,122807,0,257,13,4480.0,71.0,1751774,62762.0,27911548
Malta,118631,0,835,0,117253,0,543,4,267167.0,1880.0,2138016,4814993.0,444033
Barbados,107794,0,593,0,106971,0,230,0,374255.0,2059.0,801451,2782594.0,288023
Angola,105384,0,1934,0,103419,0,31,0,3009.0,55.0,1499795,42818.0,35027343
Channel Islands,101717,0,228,0,101321,0,168,0,576421.0,1292.0,1252808,7099551.0,176463
French Guiana,98041,0,420,0,11254,0,86367,6,312065.0,1337.0,651257,2072951.0,314169
DRC,96652,0,1467,0,84489,0,10696,0,1015.0,15.0,846704,8890.0,95240792
Senegal,88997,0,1971,0,87024,0,2,0,5041.0,112.0,1146543,64946.0,17653671
Malawi,88728,0,2686,0,85651,0,391,67,4397.0,133.0,624784,30959.0,20180839
Ivory Coast,88330,0,834,0,87492,0,4,0,3184.0,30.0,1690172,60924.0,27742298
Suriname,82513,0,1405,0,0,0,0,0,138252.0,2354.0,241842,405210.0,596831
New Caledonia,79922,0,314,0,79605,0,3,9,274726.0,1079.0,98964,340182.0,290915
French Polynesia,78545,0,649,0,0,0,0,7,276407.0,2284.0,0,0.0,284164
Eswatini,74670,0,1425,0,73116,0,129,0,63022.0,1203.0,1048704,885119.0,1184817
Guyana,73198,0,1298,0,71880,0,20,0,92184.0,1635.0,729688,918950.0,794045
Belize,70782,0,688,0,70085,0,9,6,171722.0,1669.0,576016,1397453.0,412190
Fiji,68921,0,883,0,67029,0,1009,0,75782.0,971.0,670903,737689.0,909466
Madagascar,68266,0,1424,0,66831,0,11,0,2340.0,49.0,530739,18190.0,29178077
Sudan,63993,0,5046,0,58656,0,291,0,1391.0,110.0,562941,12240.0,45992020
Cabo Verde,63829,0,414,0,63261,0,154,23,112439.0,729.0,401622,707482.0,567678
Mauritania,63715,0,997,0,62471,0,247,0,12998.0,203.0,1009957,206030.0,4901981
Bhutan,62668,0,21,0,61564,0,1083,0,79534.0,27.0,2303734,2923739.0,787941
Syria,57595,0,3164,0,54370,0,61,0,2974.0,163.0,146269,7553.0,19364809
Burundi,53749,0,38,0,53569,0,142,0,4257.0,3.0,345742,27386.0,12624840
Seychelles,50937,0,172,0,50750,0,15,0,512311.0,1730.0,0,0.0,99426
Gabon,48992,0,307,0,48674,0,11,0,21013.0,132.0,1621909,695641.0,2331533
Andorra,48015,0,165,0,47563,0,287,14,619844.0,2130.0,249838,3225256.0,77463
Papua New Guinea,46864,0,670,0,43982,0,2212,7,5043.0,72.0,249149,26813.0,9292169
Curaçao,45986,0,295,0,44720,0,971,3,277812.0,1782.0,496693,3000640.0,165529
Aruba,44180,0,236,0,42438,0,1506,2,410560.0,2193.0,177885,1653068.0,107609
Tanzania,43078,0,846,0,0,0,0,7,681.0,13.0,0,0.0,63298550
Mauritius,42442,0,1049,0,40653,0,740,0,33295.0,823.0,358675,281374.0,1274727
Mayotte,42027,0,188,0,0,0,0,0,146815.0,657.0,176919,618038.0,286259
Togo,39491,0,290,0,39193,0,8,0,4549.0,33.0,811283,93457.0,8680837
Guinea,38563,0,468,0,37757,0,338,8,2781.0,34.0,660107,47607.0,13865691
Bahamas,38084,0,844,0,36366,0,874,1,95087.0,2107.0,257839,643767.0,400516
Isle of Man,38008,0,116,0,0,0,0,0,443335.0,1353.0,150753,1758422.0,85732
Lesotho,34790,0,723,0,25980,0,8087,0,15990.0,332.0,431221,198199.0,2175699
Faeroe Islands,34658,0,28,0,0,0,0,5,703959.0,569.0,778000,15802409.0,49233
Haiti,34237,0,860,0,33357,0,20,0,2931.0,74.0,132422,11337.0,11680283
Mali,33148,0,743,0,32329,0,76,0,1544.0,35.0,804143,37448.0,21473764
Cayman Islands,31472,0,37,0,8553,0,22882,1,467797.0,550.0,222773,3311280.0,67277
Saint Lucia,30052,0,409,0,29095,0,548,0,162344.0,2209.0,210983,1139752.0,185113
Benin,28014,0,163,0,27847,0,4,0,2191.0,13.0,604310,47268.0,12784726
Somalia,27334,0,1361,0,13182,0,12791,0,1623.0,81.0,400466,23778.0,16841795
Micronesia,26453,0,65,0,0,0,0,1,225153.0,553.0,82000,697938.0,117489
Congo,25375,0,386,0,24006,0,983,0,4377.0,67.0,347815,59991.0,5797805
Solomon Islands,24575,0,153,0,0,0,0,1,34077.0,212.0,0,0.0,721159
San Marino,24247,0,125,0,24098,0,24,4,711369.0,3667.0,196855,5775414.0,34085
Timor-Leste,23443,0,138,0,23102,0,203,0,17119.0,101.0,278529,203391.0,1369429
Burkina Faso,22056,0,396,0,21596,0,64,0,998.0,18.0,248995,11265.0,22102838
Liechtenstein,21444,0,94,0,21350,0,0,0,558627.0,2449.0,112457,2929559.0,38387
Gibraltar,20550,0,113,0,16579,0,3858,0,609720.0,3353.0,534283,15852213.0,33704
Grenada,19693,0,238,0,19358,0,97,4,173545.0,2097.0,182981,1612523.0,113475
Bermuda,18860,0,165,0,18685,0,10,0,304493.0,2664.0,1029558,16622128.0,61939
Nicaragua,18491,0,225,0,4225,0,14041,0,2728.0,33.0,0,0.0,6779100
South Sudan,18368,0,138,0,18115,0,115,1,1581.0,12.0,410280,35313.0,11618511
Tajikistan,17786,0,125,0,17264,0,397,0,1786.0,13.0,0,0.0,9957464
Equatorial Guinea,17229,0,183,0,16907,0,139,5,11512.0,122.0,365697,244342.0,1496662
Tonga,16817,0,13,0,15638,0,1166,0,156076.0,121.0,535009,4965327.0,107749
Monaco,16771,0,67,0,15992,0,712,4,421562.0,1684.0,78646,1976875.0,39783
Samoa,16763,0,31,0,1605,0,15127,0,82887.0,153.0,187397,926612.0,202239
Marshall Islands,16081,0,17,0,15954,0,110,0,267762.0,283.0,0,0.0,60057
Dominica,15760,0,74,0,15673,0,13,0,217848.0,1023.0,229344,3170187.0,72344
Djibouti,15690,0,189,0,15427,0,74,0,15441.0,186.0,305941,301094.0,1016097
CAR,15368,0,113,0,15200,0,55,2,3063.0,23.0,81294,16205.0,5016678
Gambia,12626,0,372,0,12189,0,65,0,4935.0,145.0,155686,60851.0,2558482
Saint Martin,12300,0,63,0,1399,0,10838,7,309590.0,1586.0,112382,2828643.0,39730
Vanuatu,12016,0,14,0,11976,0,26,0,37336.0,44.0,24976,77606.0,321832
Greenland,11971,0,21,0,2761,0,9189,4,210117.0,369.0,164926,2894810.0,56973
Yemen,11945,0,2159,0,9124,0,662,23,383.0,69.0,329592,10579.0,31154867
Caribbean Netherlands,11682,0,38,0,10476,0,1168,0,438398.0,1426.0,30126,1130559.0,26647
Sint Maarten,11030,0,92,0,10905,0,33,0,250876.0,2093.0,62056,1411454.0,43966
Eritrea,10189,0,103,0,10086,0,0,0,2782.0,28.0,23693,6470.0,3662244
Niger,9931,0,312,0,8890,0,729,1,381.0,12.0,254538,9759.0,26083660
St. Vincent Grenadines,9631,0,124,0,9493,0,14,0,86337.0,1112.0,114197,1023720.0,111551
Guinea-Bissau,9614,0,177,0,8929,0,508,6,4659.0,86.0,145231,70385.0,2063367
Comoros,9109,0,161,0,8939,0,9,0,10038.0,177.0,0,0.0,907419
Antigua and Barbuda,9106,0,146,0,8954,0,6,1,91509.0,1467.0,18901,189943.0,99509
Liberia,8090,0,295,0,7783,0,12,2,1525.0,56.0,139824,26356.0,5305117
Sierra Leone,7762,0,126,0,0,0,0,0,934.0,15.0,259958,31296.0,8306436
Chad,7701,0,194,0,4874,0,2633,0,442.0,11.0,191341,10988.0,17413580
British Virgin Islands,7305,0,64,0,0,0,0,0,238757.0,2092.0,107339,3508269.0,30596
Cook Islands,7106,0,2,0,7078,0,26,0,404416.0,114.0,19690,1120596.0,17571
Saint Kitts and Nevis,6600,0,48,0,6550,0,2,0,122515.0,891.0,126941,2356388.0,53871
