"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
North America,126646637,1352,1632538,5,122486652,1018,2527447,6263,0.0,0.0,0,0.0,0
Asia,217262442,4184,1546147,19,200984533,24134,14731762,15418,0.0,0.0,0,0.0,0
Europe,249247757,337,2059482,1,245189392,13061,1998883,5863,0.0,0.0,0,0.0,0
South America,68671718,0,1355254,0,66459408,0,857056,10123,0.0,0.0,0,0.0,0
Oceania,14309490,9,27779,0,14137852,7,143859,86,0.0,0.0,0,0.0,0
Africa,12823205,0,258762,0,12085179,0,479264,548,0.0,0.0,0,0.0,0
,721,0,15,0,706,0,0,0,0.0,0.0,0,0.0,0
